,KHDRBS1,P4HA3,CMC1,DCAF5,cg01182099,ADAT3,cg01343313,SFT2D3,cg01588961,CPNE7,ARFIP1,cg02508651,cg02562604,cg02798848,cg03318900,C5orf32,ACBD6,BATF,CASZ1,cg04177251,GPATCH1,ADGRF1,cg04249191,cg04261367,FLJ46321,SH3BGR,LINC01512,ASB10,SCOC,cg04801273,TBCD_a,DNER,cg05550145,cg05612205,HEPACAM,TNPO2,MS4A6A,cg06493072,cg06590074,cg06781656,cg07537095,cg07617198,ELF3,cg07920321,TCF7_a,GLUL,GLIS3,cg08379332,cg08452095,BRSK2,MIR3074,LSP1,SLX4IP,JAKMIP3,SLC30A7,EYA2,cg09407967,NXN,cg09837088,RGS10,ZBTB4,cg10309000,ANXA5,COL18A1,LOC101927267,cg10512122,TNFAIP3,VWF,TMEM200B,cg11610831,CALHM3,VSTM1,cg13007843,cg13122415,MRPL23-AS1,cg13483774,cg13699428,KIF9,CUX1,BIN3,DEF6,TMED10,JAK1,TCF7_b,cg15818005,DAGLA,ZNF354B,cg16228798,KIAA0232,PCBD2,cg16606353,IL11,SNORD74,TMCC1,TBCD_b,ELAVL3,SORT1,LGALS8,cg17742165,ANXA13,cg18198670,TBX4,FAM69A,FAM131A,IL31RA,CHD7,C21orf82,cg18940929,NPC1,XRCC4,KRT78,NEK1,LOC388780,SFSWAP,SMOC1,cg20677278,LRRK1,SGK1,cg21139227,cg21339801,cg21376799,MYOF,cg21494760,EXOC3,ZIC2,cg21818901,cg21820281,cg21931115,NUFIP2,TENM2,RAP2B,CFAP45,STARD7,cg23423086,SSB,KDELR3,C19orf81,TPST1,cg23893830,PVT1,CDKN2C,RNF14,TMCO6,CYP19A1,cg24340935,CXCR5,GDPD4,FRMD4A,PHLPP1,cg24686050,cg24954221,cg25375589,EP400,NME5,ELF1,FAM20C,TCF7_c,SKI,CALHM1,cg26417132,MNAT1,cg27037013,ETV6,cg27164813,ATXN2,MYB
AD044,-9.373128678,-3.345744843,1.760239419,6.257699513,7.852692097,4.384531881,-8.377913435,2.234261671,1.952435058,-2.243996513,0.185515121,-7.744776871,0.829151471,1.32089725,2.877893166,-5.087067422,1.810868677,2.327593556,5.727031094,-0.483189382,-5.396597693,7.707682806,-0.017576648,0.836354638,2.565674324,0.086489261,2.304952228,0.340066049,1.799589101,2.837805507,1.208734092,5.838718547,1.460606591,2.504579776,3.035722599,1.283521455,4.325712885,3.521134342,2.685206138,0.70632466,-3.226858292,3.036735346,2.121662119,2.598311019,-3.287044998,3.410116763,-5.122783832,3.061272085,2.396246755,3.420393745,1.434457579,-0.546123126,-1.838478462,1.337364704,-2.131135687,-4.567029703,2.976172161,1.456589579,2.730292362,1.493608214,2.154943793,-1.601451703,1.784602282,-1.82721937,0.603389805,1.76801209,0.171199355,0.122757667,-1.882187512,-3.549243841,3.560605809,1.172752703,-4.277283828,4.924175224,4.484090578,2.521682408,1.825607573,-3.465608522,-0.319108718,1.32129649,-2.36787191,3.447828174,-1.716886979,-2.495830807,4.013131845,3.999356882,4.898941245,2.179014141,2.245272236,1.399545349,3.050896831,6.854568507,-0.30264189,-4.130171848,-1.722636879,-4.841605105,1.570711657,1.259847553,0.661517083,5.639856564,0.021100599,0.575638519,-5.208761077,-2.246280043,3.749702568,3.71241017,0.348918628,4.965476378,-0.481814047,7.62065908,1.522315039,2.288568148,1.444211561,0.552583473,0.743874712,0.651967851,2.608799033,-4.683268006,1.238861816,3.257639368,0.68937246,-13.07793121,9.098891389,3.413905243,-3.189070229,6.784449932,4.099390367,3.01181807,2.924533359,3.236287561,2.601309132,1.912498792,-5.377872009,5.397873505,0.892772603,-0.298577429,-2.820940263,3.314685571,2.546498652,-0.051861206,-6.074911516,-11.79205163,-3.77244723,1.585326416,-0.173318884,1.393789923,2.105020258,0.421003181,4.140856736,2.057868006,0.04200614,3.370871003,3.935115959,0.494745526,2.443722332,-1.593118546,-3.218912718,-0.811192044,0.281817374,1.860985788,0.636916249,0.343470093,-4.092872285,2.768938146,3.373198054,6.738488333
AD274,-7.893439727,-3.615759209,1.003786929,5.091660237,8.627004622,3.659389707,-7.845647532,1.773568612,2.041716243,-2.283448951,-0.48875892,-6.483979685,0.157581337,1.459848838,2.470099222,-4.892649748,1.674403275,2.484569365,4.028431499,-0.785837439,-5.234599473,8.310130252,-0.019326946,-0.357107814,2.037934602,0.14058362,2.343513117,0.302993263,1.408330598,3.282054321,1.235171131,5.855316878,1.160932293,1.773962205,3.252382309,0.365337227,3.555596382,3.361800335,2.750325086,1.123928633,-3.041482191,2.284579693,2.281863041,2.148149979,-3.39526214,3.920525764,-4.176507041,3.343793658,1.825581023,3.619843636,1.013792714,-0.311779697,-1.344574048,1.61169797,-2.220335627,-4.162066825,2.984772856,1.935423181,2.874524939,1.051770535,2.313224161,-1.377738788,1.47300412,-1.099371469,0.920021467,1.5735353,0.253396009,0.117179078,-2.239331612,-2.796391153,2.98866885,1.152144171,-4.26213096,4.316790955,4.59492538,2.456514676,1.792655064,-2.862964107,-0.929688254,1.486854555,-2.381296398,2.90906199,-1.992129495,-2.50936413,4.003648545,4.345881801,3.059942384,1.960742101,2.333792931,1.477391685,2.989032195,6.563500938,0.10821736,-4.643363643,-1.412119151,-4.397737335,1.532224489,0.484989357,-0.103170412,5.775423587,-0.38683907,1.21841204,-5.277793831,-2.039433519,3.07633778,3.293264642,0.750099181,5.339797067,-0.436855759,7.513028954,1.583144007,2.094212505,0.740062608,0.977624337,0.595831876,0.432084784,3.332836334,-3.826401717,1.491059278,2.681461781,1.473038228,-11.21945021,9.464498812,3.266601827,-3.498114263,5.962245461,3.870565703,3.120989514,2.940814528,3.298588071,2.504067495,1.85311318,-3.85208845,5.666271439,0.876118721,-0.279334308,-3.406241773,2.024411393,2.160531552,-0.209529939,-5.756358914,-11.74849094,-5.058981874,1.778809063,-0.445727399,0.969153487,1.593662523,-0.089886229,3.084167185,1.323226931,0.092148905,2.591152792,4.009729776,0.072621853,0.863879182,1.278574338,-3.300603848,-1.564596042,0.114289341,1.486942955,0.830902422,0.263695703,-3.60271139,2.893468896,3.263547202,7.115265021
AD024,-8.85850607,-2.70937637,1.108857205,5.490514184,7.917527821,3.641015764,-8.019106378,1.747473025,2.617129476,-2.258834509,0.141274101,-7.175806149,0.2321247,1.63962521,2.459233442,-4.69136288,1.472485778,2.419759485,4.164066921,-0.439682494,-5.12288857,9.827223629,0.166887419,0.585285628,2.006271394,0.352531337,2.314818525,0.368996968,1.583349911,2.77390916,1.307109294,5.67869085,1.282086204,2.343726313,3.213903364,0.270220114,3.646358955,3.398414921,3.221845842,1.217844394,-3.545900318,2.665085726,2.09075525,2.413124368,-3.086192772,4.619798178,-4.105463449,2.17288138,2.087368124,3.838381714,0.984409213,-0.453642072,-1.627142105,1.498944768,-2.327672487,-4.612085626,3.117625771,1.77272273,2.625709571,1.311268451,1.897554473,-1.498758633,2.032276687,-1.163975514,0.988497193,2.044121782,0.034154853,0.232384958,-2.45152954,-5.060346529,2.884030858,0.942843078,-4.35756907,4.03404934,5.167793899,2.815655269,1.752567486,-3.2743738,-0.887580115,1.692841752,-2.306528465,3.050202736,-1.961770828,-2.400187019,3.917526772,4.095100434,4.361141161,2.014815227,2.341219663,1.255411763,3.104927324,6.922342075,0.632377633,-4.860908466,-1.535846701,-4.585027921,1.505030391,0.911769886,-0.054110307,5.816518671,-0.104796906,1.271273466,-4.296053316,-2.753607033,2.80830352,3.426042073,0.17474863,4.430999318,-0.327454687,7.421728542,1.850669061,1.692743821,0.79939535,0.759948579,0.702550004,0.518650718,3.218361361,-4.050295956,1.304161951,2.915881205,1.594026662,-10.81424174,9.262975783,3.140776082,-3.368233132,7.369541679,3.81116675,2.842456491,2.777717305,2.981087578,1.928711985,1.88707028,-4.308722686,5.460978007,0.75623949,-0.583513623,-3.023241773,2.703650821,2.252212867,-0.13604495,-5.473420841,-11.76472845,-4.654329131,1.989251742,-0.129485963,1.029402015,1.216056232,-0.167244522,4.17640805,1.463958067,0.267008816,3.032607816,3.850038488,0.34089882,1.687598399,0.069599679,-2.911229657,-1.208339854,0.163784442,1.525940526,1.473375842,0.169858024,-3.716284235,2.727698549,3.476142677,6.938032467
AD081,-8.883513663,-3.420056954,0.926219945,4.952334726,8.360961778,3.734117283,-7.639237775,1.442915609,2.225461201,-2.042398046,-0.418664517,-6.697099563,0.089520761,1.494487804,2.37517318,-4.681958952,1.210836375,2.752449084,4.267135823,-0.631151814,-5.196986622,10.47875257,0.320304428,0.313568201,2.331592632,0.344058619,2.24451164,0.5064704,1.303714555,3.149826204,1.428055489,5.872984173,0.716866124,1.906243452,3.437804158,0.297471342,3.539110857,3.488978445,2.865534244,1.327957091,-3.044589871,1.901877815,2.342381104,2.400905477,-2.969651969,4.155700541,-4.740327527,3.037982206,1.755060313,3.786593696,0.898099813,-0.369481835,-1.640583657,1.414863049,-2.191674593,-4.230147205,3.262444317,1.958354476,2.79138851,1.471941644,1.817993312,-1.145331888,1.347057044,-1.336130786,0.935051057,1.406789081,0.50409235,-0.158112044,-2.34104145,-4.665200383,2.739425399,0.742814716,-3.822789821,3.877478564,4.211194617,2.65315326,1.835260303,-2.969161339,-0.72563794,1.482643504,-2.540778469,2.914692242,-2.242249002,-2.344855533,4.104137164,4.519094806,4.521036983,1.653114928,1.822574557,2.095701442,3.224326129,6.822221223,-0.045768287,-4.536511133,-1.396654658,-4.626462269,1.290394888,0.49919863,-0.083774878,5.878517138,0.21430231,1.239550686,-5.111731533,-2.062688102,2.674072426,3.428497215,0.580667664,4.833323167,-0.557616593,7.261073467,1.629314812,1.55948603,0.518572511,0.616001027,0.44500186,0.366169515,3.39050733,-4.782835224,1.390406839,2.554197705,1.512976524,-11.86298997,9.206065201,3.35136153,-3.539731188,6.406180472,3.703826603,2.554255814,2.523395489,3.206165261,2.400994963,1.90090066,-3.822360729,4.819274001,1.412251438,-0.238292405,-3.423003347,1.999175632,2.099756665,0.22148874,-5.602161662,-11.12783956,-4.639631255,1.853130946,0.20718215,0.893278807,1.000070515,-0.438303257,3.240169662,1.628505448,0.397001065,2.511259549,4.121035528,-0.048084634,1.152329415,-0.947144405,-2.976521874,-1.445473413,-0.015489722,1.124605128,0.664544841,0.463619701,-3.931933028,2.183044846,3.587991778,6.341321635
AD347,-8.454755304,-3.720608369,1.284903733,5.317137695,8.030356634,3.337991256,-7.687668984,1.881450926,2.516553268,-2.116396675,-0.238387012,-7.272472114,0.416173123,1.449928601,2.89873233,-5.1932447,1.454681092,2.715841021,4.630358716,-0.645482886,-5.180774309,9.136548781,-0.082444476,-0.533473726,2.104748211,0.38773049,2.303937364,0.384820417,1.499749528,2.351553307,1.201137383,5.935557374,0.924540642,2.027863487,3.338977596,0.770060671,3.384005786,3.590491898,2.957622255,0.809633833,-3.383282549,2.563469305,2.564438353,2.484614828,-3.149570669,3.535483073,-4.991260582,2.88995022,1.942170506,3.957182773,1.024135527,-0.495890269,-1.653671959,1.624390008,-2.125886747,-4.142003829,3.084292314,1.902109747,2.867901679,1.011376096,2.721328654,-1.420438916,1.945514852,-1.176519561,0.798472692,1.903239372,0.38540596,-0.016932787,-2.335012999,-3.275514393,3.190254866,1.102370471,-4.125920143,4.151907237,4.29294865,2.683676199,1.584427681,-3.512766834,-0.915608319,1.625250548,-2.298549371,3.469852314,-2.061881039,-2.199943282,4.124545406,3.981642264,4.337014583,1.820802098,2.227326919,1.816263905,2.930969391,6.340232139,0.132041973,-4.991181143,-1.479904404,-4.442487153,1.387897042,1.187761135,0.100093752,5.846395143,-0.346528174,1.039450081,-4.581821159,-1.625070512,3.212735577,3.526157163,0.424373125,5.010068734,-0.401145244,7.430938208,2.014753513,1.699997912,0.939741907,0.428194208,0.784946293,0.155426684,3.258882157,-4.236284825,1.419630029,2.840225401,0.787240851,-11.72045641,9.142988723,3.219719436,-3.266896154,6.570187431,3.89997001,2.997747807,2.522152589,2.772883072,2.056233574,1.999660178,-4.214774869,5.654944563,1.035529354,-0.360524958,-3.091171054,2.27985876,2.304568792,-0.028719399,-5.870717327,-11.24843393,-3.997045781,2.041642804,-0.45731301,1.072788978,1.354767187,-0.132848928,4.10210053,1.464978106,0.451229145,2.799759549,3.842172473,0.367231437,1.783387348,0.779514014,-2.928741607,-1.048256906,0.199877917,1.239788842,0.68924163,0.262767889,-3.561788044,2.613642684,2.844321322,6.818140268
AD023,-9.244794604,-3.405695062,1.469457089,5.687561194,7.760539949,3.700426501,-8.286643627,1.852507277,2.373973282,-2.296716944,0.483543773,-7.53104617,0.621887336,1.68282949,2.695920822,-4.782667967,1.518274205,2.132809237,5.354805299,-0.812162866,-5.382113653,8.825986657,0.106173452,0.047889405,1.879872619,0.161769949,2.392572841,0.249868798,1.570042394,3.116131473,1.133694842,5.517232794,0.999610393,2.195933362,3.136417991,0.364165776,3.832182171,3.599621347,2.949775836,0.866077997,-3.467411882,2.603390434,2.079021289,2.337630572,-2.896690645,4.003083894,-4.778506206,2.177994594,1.714125779,3.548960535,1.32729317,-0.362629198,-1.479158594,1.581972101,-2.313552396,-4.521462348,3.066342889,1.899637949,2.736356993,1.445528047,2.525528504,-1.351411463,1.463491324,-1.429714449,0.752786916,1.599391075,0.182640623,-0.168987563,-2.219589878,-3.228191678,3.088722004,1.019626102,-4.132825086,4.419396682,4.604758971,2.575862767,2.26131057,-2.965735044,-0.632515705,1.5904126,-2.607286948,2.704661603,-1.986466164,-2.495158191,3.502991067,4.059531901,3.59859401,1.758518396,2.035919555,0.980716084,2.548438152,6.130710587,0.455099176,-4.821927881,-1.463561647,-4.230831903,1.33936705,0.675085976,-0.061213206,5.818549533,0.12674739,1.266789595,-4.921840918,-2.789731493,3.962705049,3.759964528,0.585027509,4.544571124,-0.146094797,7.361795343,1.465976727,1.777556378,0.762566177,0.472592851,0.521799176,0.439484718,3.077099108,-4.659102225,1.30061839,2.939818979,1.499066085,-11.15882693,10.68935805,3.606322117,-3.355948696,6.558168424,3.845886915,2.845083498,2.761795999,3.303645035,2.089585174,1.869449847,-4.239757606,5.517458258,0.854462148,-0.494874604,-3.090597708,2.790918893,2.153309545,-0.17596877,-5.246829799,-11.44918854,-5.942767551,1.857071556,-0.336057936,1.150849116,1.259788452,0.100900077,3.578728865,1.499197536,0.105528302,2.801264965,4.003150993,0.006390975,1.905465608,-0.823639316,-3.140639011,-1.171816095,0.169002016,1.669340314,-0.243396516,1.049781438,-3.260516711,2.847222887,3.643165792,6.722147059
AD360,-10.11776136,-3.269775638,1.486475094,5.564406189,8.479651766,4.450080131,-8.721755691,1.826641149,1.917043374,-2.23424438,1.291225545,-7.69669836,1.07318822,1.018973771,3.047788751,-5.087868354,1.958158182,2.057866497,5.752179356,-0.680950637,-5.787270644,7.722978702,0.345296119,3.27926697,3.672086309,-0.169245905,2.205804398,0.230920029,1.874929473,2.641144686,1.266245366,6.592578498,1.708120692,2.799357453,2.988844319,0.586931298,3.719435317,3.685557652,2.459686149,0.759507476,-4.04786171,2.769165669,1.931567514,2.400128169,-3.59095552,3.239577857,-5.080398998,3.362294939,2.255015097,3.419982097,1.513626258,-0.535993478,-2.029472534,1.249779616,-2.29740594,-4.792526556,2.59342404,1.670548762,2.534266383,1.176874619,1.668559396,-1.658951942,1.932351944,-2.015975406,0.707591924,2.199404504,-0.313297398,0.433322349,-1.832595552,-3.399922987,3.269523477,1.256212045,-4.554883941,5.272684986,5.564358113,2.49989329,1.293034391,-3.412379376,-0.565249687,1.438716358,-2.491298931,3.24258144,-1.883594171,-2.647898535,4.271087262,4.205885005,5.395786097,2.334007852,3.265799648,1.002954801,3.475059729,7.47672541,-1.212048307,-4.433236218,-1.982867053,-4.816240283,1.906231764,1.15623004,0.57316341,5.293564831,0.736743763,0.607205938,-6.153315558,-2.12518576,2.811817007,3.540418212,0.190025455,4.565355418,-0.601629733,8.008261679,1.653179899,2.412437653,1.099867948,1.409462969,1.175033442,0.888118021,2.683726003,-3.708265841,1.141352803,3.159375696,1.240978614,-12.0230007,9.2869645,3.010204739,-3.807459889,6.677521951,4.014355639,3.156913643,3.727105345,3.294307948,3.252220705,1.889552875,-4.385592184,5.915897098,1.15751387,-0.389114974,-2.398770551,2.837570928,2.863674168,-0.23632891,-6.221164595,-12.14739943,-3.844664417,1.325807012,-0.430210457,1.296181832,1.921422691,0.133642969,3.53839009,1.289571289,-0.099395002,3.161180129,4.352302398,0.340532672,1.107202038,-1.329544363,-3.302275213,-0.733652367,0.350356573,1.859302817,1.597606774,0.004471588,-4.272121958,2.859045222,2.525081525,8.018842579
AD320,-8.043665332,-3.078519559,1.149665625,5.280908718,8.342642815,3.591736875,-8.071897819,1.627872274,1.878776069,-2.21678273,-1.010121696,-7.367358127,0.207351598,1.373754078,2.778419947,-4.910422717,1.392313533,2.461910743,4.104130498,-0.581150705,-5.279403002,9.708611693,-0.147663096,-0.341369511,2.019730572,0.23483808,2.428151133,0.280529739,1.860210436,2.933070951,1.406253222,5.202257088,1.090808591,2.003199077,3.096814465,0.366014523,3.862708657,3.207045966,3.02112729,0.727240659,-3.27199161,2.555983831,2.180946982,2.379023058,-2.94905353,4.339932397,-3.739694678,2.988543555,1.859969348,3.965073198,1.20780749,-0.325145969,-1.355268535,1.543107326,-2.05356821,-4.491358848,3.037689723,1.466278452,2.893984919,2.378910414,2.173751349,-1.663354613,1.737490948,-1.337881456,0.65049617,1.610194368,0.142398022,-0.08178537,-2.291499596,-4.653563067,3.103602625,0.791852112,-4.110314428,4.06512816,4.687188489,2.581021774,1.626260781,-3.060654319,-0.9407805,2.079396309,-2.454892752,3.119382226,-1.860509769,-2.354033248,3.756694059,4.470637195,3.756485328,1.71561198,2.105039336,1.746998096,2.875164321,6.819362166,0.514584789,-4.407178453,-1.126211014,-4.77501477,1.675334511,0.821576651,-0.456839329,5.601969757,-0.366368942,0.907564411,-4.604580488,-1.917388584,3.128333526,2.970166776,0.727080853,5.051702176,-0.252187986,7.317343455,1.614604956,1.678345462,0.959503301,0.495624122,0.405216674,0.13645071,3.193270299,-5.299681216,1.389437379,2.89436831,0.837834139,-12.45831562,9.498807136,3.238762369,-3.176795046,6.512858888,3.661021525,2.695176345,2.65089207,3.343382244,2.297957369,1.949002721,-3.982515007,5.135011356,0.643630827,-0.280659437,-3.308176138,2.266719668,1.743761825,0.08814194,-5.681198389,-11.45548195,-4.828291195,1.856588758,-0.414926592,1.170159424,1.326239899,0.340659894,3.813412807,1.31992352,0.143010345,2.565598037,4.069856383,0.284231345,1.159640965,1.049550919,-3.202101675,-1.238863507,-0.120825288,1.30364338,0.214919077,0.313134548,-3.837465727,2.661799216,3.934022711,6.585593069
AD211,-9.764274904,-2.967682741,1.803245365,5.655679165,8.210116324,3.892137503,-8.522492451,2.27013896,2.170218596,-2.162426717,0.81684881,-7.408056494,0.579994171,1.469301371,2.834505087,-4.75715896,1.901489404,2.205250488,4.89233962,-0.534905642,-5.33719017,8.362541731,0.111257365,1.200675694,2.967007575,0.269320585,2.350249083,0.153079696,1.836934783,2.913159921,1.081373128,6.23688895,1.468033933,2.569697512,3.055977477,0.728597772,4.043171839,3.695052731,2.936094772,1.074281957,-2.972265568,2.99149743,2.352862201,2.483614094,-3.371461524,4.120785365,-4.896406786,2.908555545,2.058456069,3.493532047,0.820122738,-0.328922636,-1.840181939,1.361170247,-2.130142686,-4.431648325,2.748457903,1.700895814,2.647292564,1.075395446,1.982090555,-1.611392981,2.036745566,-1.529840005,0.579669779,1.485787009,-0.123979114,0.303954609,-2.016665702,-3.639806066,3.180539536,1.025082381,-4.229845377,5.020120857,5.302802592,2.587397114,1.686606899,-3.421451738,-0.483527038,1.522200833,-2.689482019,3.215072581,-2.139626163,-2.453675776,4.343138651,4.252808552,4.166325282,2.189935911,2.429896246,0.93047275,3.046056643,7.525462781,-0.446008805,-4.612062806,-1.665430284,-4.769924472,1.952277964,0.951564106,0.409344358,5.833281627,-0.394873721,0.909274507,-5.907523127,-1.724327919,3.238881061,3.158849357,0.4524966,4.486534281,-0.611028076,7.363250865,1.556670048,1.533678927,1.398123842,0.866573876,0.499825453,0.338950967,3.131899186,-3.578692579,1.367394537,3.215722323,0.983691466,-11.36794546,9.861252214,3.068633384,-3.155351932,6.650582866,3.939769819,3.192890853,2.968766628,2.990883313,2.092715382,1.983280497,-4.452668708,5.824603691,1.092982109,-0.38666009,-3.115808817,2.859080767,2.548960297,0.197249921,-5.942547797,-11.3052382,-4.71032734,1.912152725,-0.222708971,1.268845529,1.731087602,0.20764546,3.519949703,1.901948578,0.01625775,3.374747531,4.370658085,0.492735288,2.143594971,-0.908149381,-3.109194422,-1.126555796,0.470761888,2.037157321,0.42834601,-0.05019629,-3.93233068,2.791451387,3.115082053,7.449680433
AD269,-8.084451492,-3.741312247,1.591681578,5.497519767,8.5401154,3.737854801,-7.759405806,1.65178909,2.441349679,-2.300249748,0.453351198,-7.017434739,0.700386444,1.376911318,2.597360756,-4.978904111,1.659358188,2.619035223,4.321306719,-0.752718733,-5.644460896,9.999414533,-0.046161172,-0.366930756,1.966589184,0.344690502,2.259864828,0.349947033,1.551261861,2.965724402,1.375935673,5.668799472,1.258330358,2.171196411,3.153351435,0.431150497,3.522464272,3.307271722,2.855119521,0.795316604,-3.35795319,2.32567198,2.197301249,2.645775139,-3.169877159,3.797257722,-4.915579403,2.746729213,1.806066639,3.91575888,1.410994399,-0.380595513,-1.553459548,1.624985313,-2.287091335,-4.459098736,3.323792465,1.680376127,2.801905155,1.199590639,2.364196237,-1.361103682,1.828895734,-1.023502586,0.687184228,1.959934387,0.129403254,-0.071127536,-2.396041779,-4.542496642,3.094203472,1.047540886,-3.842001779,4.506103597,4.345585863,2.456600799,2.12887549,-3.106088851,-0.875716212,1.275996053,-2.335174339,2.838231374,-1.447630679,-2.492818959,3.689449742,4.186160412,4.095882975,1.692415145,1.831916495,2.029564901,3.088084385,6.251277827,0.516763284,-4.685127551,-1.21490619,-4.527230587,1.388103445,0.94003267,0.034650381,5.820962299,0.28125682,1.141017466,-4.441112264,-2.279281953,2.986479344,3.634913014,0.538041519,5.56491936,-0.346626813,7.510880888,1.937488108,2.253744815,0.804977216,0.595621248,0.169643547,0.334733636,2.884396874,-4.53021492,1.289567873,2.841986569,1.380549979,-12.05279598,9.82346021,3.705330322,-3.544843161,6.605319188,3.92962559,2.917218856,3.013602814,3.539651045,2.612820169,1.816136838,-3.809954957,5.422880016,0.748271425,-0.44820814,-2.823988244,2.374745148,2.196730808,-0.331796161,-5.679764366,-11.76690516,-4.16110966,1.755324052,0.078385259,1.060400643,1.24221225,-0.107147318,3.956366847,1.482723911,0.162697685,2.744068211,3.883948509,0.143804737,0.962232885,0.469062166,-3.243084788,-0.824951618,-0.167539952,1.674852922,0.505482141,0.760820651,-3.564686669,2.982656146,4.474276608,6.384108345
